,School,SOS,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TRB,opp_TOV
4,Alabama-Birmingham 2015,1.62,883,2083,217,469,685,435,1269,476
7,Albany (NY) 2015,-5.18,697,1657,250,352,502,274,964,408
12,Arizona 2015,7.41,777,1951,206,508,728,285,1065,523
16,Arkansas 2015,6.79,869,2031,223,564,789,433,1281,567
21,Baylor 2015,9.33,738,1836,196,376,583,376,1052,410
22,Belmont 2015,-2.77,854,1889,238,384,539,330,1080,418
25,Boise State 2015,1.38,730,1754,195,390,558,279,1030,430
30,Brigham Young 2015,5.02,894,2052,218,555,793,370,1185,456
34,Buffalo 2015,1.6,795,1881,235,428,645,367,1163,448
35,Butler 2015,8.62,740,1785,187,406,595,281,1049,431
41,UC-Irvine 2015,0.45,739,1878,184,451,650,382,1144,384
55,Cincinnati 2015,4.4,700,1804,192,306,470,380,1025,409
59,Coastal Carolina 2015,-6.18,724,1831,242,431,616,317,1063,403
70,Davidson 2015,3.19,814,1838,181,412,646,351,1132,370
71,Dayton 2015,4.06,795,1901,206,394,582,344,1184,489
79,Duke 2015,9.87,962,2281,199,379,548,428,1227,481
86,Eastern Washington 2015,-3.84,901,2001,279,507,708,363,1185,431
103,Georgetown 2015,9.81,698,1716,220,537,756,352,1056,438
105,Georgia State 2015,-2.03,709,1826,251,515,721,416,1166,535
107,Georgia 2015,8.6,733,1882,207,451,645,358,1117,365
108,Gonzaga 2015,5.12,841,2154,217,444,667,403,1157,429
112,Hampton 2015,-7.08,795,1924,197,600,876,392,1285,491
114,Harvard 2015,-0.25,614,1519,164,335,497,280,929,386
129,Indiana 2015,7.2,900,1986,196,442,651,374,1122,364
131,Iowa State 2015,9.15,866,2081,248,366,499,377,1196,440
132,Iowa 2015,8.39,754,1903,227,384,553,371,1136,417
140,Kansas 2015,12.13,825,2084,210,473,704,434,1227,421
143,Kentucky 2015,8.67,750,2116,175,443,672,463,1215,533
145,Lafayette 2015,-3.12,886,1921,274,363,521,378,1090,362
155,Louisiana State 2015,5.63,824,2052,185,400,604,438,1219,450
157,Louisville 2015,8.98,767,1958,189,431,652,400,1256,506
162,Manhattan 2015,-3.34,736,1683,148,614,880,357,1128,545
168,Maryland 2015,7.63,800,2026,242,376,570,399,1170,391
176,Michigan State 2015,10.0,833,2104,224,592,820,378,1247,416
183,Mississippi 2015,7.01,762,1885,270,532,777,391,1197,430
200,New Mexico State 2015,-3.67,754,1774,129,396,572,339,983,448
211,North Carolina State 2015,9.72,827,2052,212,501,712,402,1247,349
213,North Carolina 2015,11.76,889,2232,247,591,843,460,1250,468
214,North Dakota State 2015,-3.63,727,1726,213,388,525,248,1043,347
216,North Florida 2015,-5.94,879,2033,176,451,666,400,1187,425
218,Northeastern 2015,-1.34,875,1952,193,336,488,291,980,349
222,Northern Iowa 2015,2.0,684,1732,211,333,468,301,991,391
226,Notre Dame 2015,7.02,946,2214,227,380,533,435,1243,425
228,Ohio State 2015,7.37,790,1959,238,384,545,401,1168,503
230,Oklahoma State 2015,9.63,675,1673,183,478,697,352,1099,438
231,Oklahoma 2015,9.94,794,2057,225,383,585,432,1277,468
235,Oregon 2015,7.65,902,2136,232,514,739,418,1252,413
246,Providence 2015,9.5,760,1804,218,489,709,334,1093,442
247,Purdue 2015,7.64,749,1868,200,497,717,376,1087,394
254,Robert Morris 2015,-3.5,837,1941,241,482,730,446,1262,512
265,San Diego State 2015,4.24,716,1864,181,326,469,351,1152,470
286,Southern Methodist 2015,3.57,691,1815,268,382,562,357,1016,441
292,St. John's (NY) 2015,9.04,793,1948,230,424,649,444,1293,436
294,Stephen F. Austin 2015,-4.2,730,1665,155,571,821,316,994,587
310,Texas Southern 2015,-6.09,882,1983,193,429,656,422,1194,431
313,Texas 2015,9.07,702,1910,204,441,665,372,1063,303
319,UCLA 2015,8.27,855,2054,281,462,664,371,1233,438
322,Utah 2015,7.42,704,1832,169,422,617,342,1040,408
323,Valparaiso 2015,-2.0,689,1802,228,415,589,323,1040,415
326,Villanova 2015,7.55,797,1964,193,406,597,392,1163,508
327,Virginia Commonwealth 2015,6.1,822,1892,229,495,716,367,1319,577
330,Virginia 2015,7.81,622,1697,191,314,486,280,969,359
336,West Virginia 2015,9.29,762,1626,191,623,903,312,1169,678
341,Wichita State 2015,3.68,691,1721,187,439,634,304,1077,464
344,Wisconsin 2015,10.29,896,2092,202,333,469,297,1106,378
345,Wofford 2015,-2.98,737,1763,173,442,629,300,1089,445
347,Wyoming 2015,-0.04,715,1775,219,325,462,298,1052,377
348,Xavier 2015,9.48,886,2035,261,459,678,345,1145,464
