Season,Wteam,Wefg%,Lefg%,Lefg,Wtov%,Ltov%,Wor%,Wdr%,Lor%,Ldr%,Wft%,Lft%,wins
2003,1112,0.5166666666666667,0.45507052975273315,0.455,0.11633333333333333,0.16333333333333336,0.34600000000000003,0.7436666666666666,0.25604765604765606,0.6537464293561855,0.18966666666666665,0.16766666666666666,3
2003,1113,0.576,0.41304347826086957,0.413,0.1,0.117,0.312,0.574,0.425531914893617,0.6875,0.271,0.203,1
2003,1120,0.482,0.4363542026980284,0.4365,0.16549999999999998,0.17049999999999998,0.37150000000000005,0.6255,0.37412587412587417,0.6285714285714286,0.213,0.2935,2
2003,1139,0.545,0.5260942760942761,0.526,0.135,0.16949999999999998,0.293,0.698,0.301994301994302,0.7068965517241379,0.16999999999999998,0.128,2
2003,1141,0.575,0.5083333333333333,0.508,0.187,0.213,0.393,0.588,0.4117647058823529,0.6071428571428571,0.34,0.2,1
2003,1143,0.477,0.5267857142857143,0.527,0.129,0.155,0.409,0.667,0.3333333333333333,0.5909090909090909,0.234,0.268,1
2003,1163,0.4325,0.4140625,0.41400000000000003,0.1205,0.123,0.376,0.681,0.3191031941031941,0.6241565452091768,0.3175,0.183,2
2003,1181,0.5505,0.39985380116959063,0.4,0.14800000000000002,0.21300000000000002,0.26249999999999996,0.6665,0.33392603129445236,0.737367802585194,0.34700000000000003,0.254,2
2003,1196,0.631,0.38596491228070173,0.386,0.117,0.175,0.265,0.721,0.27906976744186046,0.7352941176470589,0.131,0.193,1
2003,1211,0.489,0.4696969696969697,0.47,0.124,0.116,0.267,0.683,0.3170731707317073,0.7333333333333333,0.596,0.106,1
2003,1228,0.473,0.4482758620689655,0.448,0.166,0.164,0.455,0.575,0.425,0.5454545454545454,0.214,0.138,1
2003,1231,0.459,0.47115384615384615,0.471,0.096,0.105,0.394,0.71,0.2903225806451613,0.6060606060606061,0.449,0.25,1
2003,1242,0.5628,0.44015575493836356,0.44020000000000004,0.1416,0.1462,0.4122,0.6462,0.35378787878787876,0.587972719436134,0.19540000000000002,0.1954,5
2003,1246,0.5670000000000001,0.449537037037037,0.4496666666666667,0.15166666666666664,0.19400000000000003,0.4083333333333334,0.7026666666666667,0.2972222222222222,0.5914262957273709,0.22999999999999998,0.25366666666666665,3
2003,1257,0.557,0.46296296296296297,0.463,0.126,0.191,0.417,0.784,0.21621621621621623,0.5833333333333334,0.114,0.259,1
2003,1266,0.6025,0.5027435816498317,0.503,0.13424999999999998,0.11875,0.33975,0.59425,0.4055737057209132,0.6603745716648942,0.28925,0.2345,4
2003,1268,0.5680000000000001,0.4470494417862839,0.44699999999999995,0.127,0.08399999999999999,0.27749999999999997,0.765,0.23513513513513515,0.7222222222222222,0.22249999999999998,0.33099999999999996,2
2003,1277,0.5316666666666666,0.43137381567614125,0.43133333333333335,0.15433333333333332,0.17266666666666666,0.336,0.7223333333333333,0.2776683087027914,0.6637932116192986,0.26766666666666666,0.20733333333333334,3
2003,1281,0.587,0.46153846153846156,0.462,0.246,0.131,0.333,0.744,0.2558139534883721,0.6666666666666666,0.212,0.169,1
2003,1323,0.485,0.398989898989899,0.399,0.17149999999999999,0.11199999999999999,0.2315,0.732,0.267983789260385,0.7687908496732027,0.23550000000000001,0.201,2
2003,1328,0.5543333333333335,0.5057394156231365,0.5056666666666666,0.15133333333333335,0.17633333333333331,0.4426666666666666,0.7693333333333334,0.23065408753210015,0.5571847507331379,0.22366666666666668,0.16966666666666666,3
2003,1329,0.61,0.5853658536585366,0.585,0.123,0.239,0.435,0.882,0.11764705882352941,0.5652173913043478,0.32,0.366,1
2003,1338,0.605,0.4901960784313726,0.49,0.114,0.221,0.36650000000000005,0.7635000000000001,0.23677884615384615,0.6333333333333333,0.3145,0.2085,2
2003,1345,0.606,0.38333333333333336,0.383,0.21,0.171,0.308,0.595,0.40476190476190477,0.6923076923076923,0.327,0.167,1
2003,1390,0.516,0.36065573770491804,0.361,0.15,0.105,0.324,0.63,0.3695652173913043,0.6756756756756757,0.172,0.41,1
2003,1393,0.5551666666666667,0.4361603271198491,0.43616666666666665,0.17716666666666667,0.1668333333333333,0.34450000000000003,0.6326666666666667,0.3673747276688453,0.6554844560789682,0.24716666666666667,0.19999999999999998,6
2003,1400,0.48124999999999996,0.45258047688761005,0.4525,0.10074999999999999,0.123,0.39675000000000005,0.668,0.3320460704607046,0.6032300420168066,0.39249999999999996,0.23725000000000002,4
2003,1409,0.649,0.49242424242424243,0.492,0.146,0.127,0.333,0.684,0.3157894736842105,0.6666666666666666,0.175,0.091,1
