Rk,School,SOS,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
1,Abilene Christian,-6.34,695,1684,232,354,487,274,897,399
2,Air Force,-0.71,742,1565,232,321,487,265,930,366
3,Akron,-0.47,824,1982,328,406,617,420,1249,422
4,Alabama A&M,-9.62,608,1533,166,415,643,367,998,413
5,Alabama-Birmingham NCAA,1.62,873,2042,202,528,715,434,1322,482
6,Alabama State,-12.71,761,1738,172,396,609,389,1151,397
7,Alabama,8.09,760,1724,221,539,752,325,1122,407
8,Albany (NY) NCAA,-5.18,729,1666,205,493,650,334,1111,381
9,Alcorn State,-9.95,724,1864,155,463,704,376,1038,367
10,American,-3.71,683,1479,213,359,509,188,827,370
11,Appalachian State,-3.18,637,1602,186,381,537,329,1010,397
12,Arizona State,6.66,809,1818,231,511,766,365,1184,474
13,Arizona NCAA,7.41,1009,2068,193,700,974,411,1399,419
14,Little Rock,-3.81,741,1779,219,445,632,329,1063,326
15,Arkansas-Pine Bluff,-8.61,657,1639,204,397,584,326,927,489
16,Arkansas State,-3.81,664,1631,169,372,530,318,1038,390
17,Arkansas NCAA,6.79,978,2196,238,593,819,470,1290,430
18,Army,-4.98,779,1768,227,379,557,325,1033,396
19,Auburn,8.15,760,1880,252,606,910,356,1104,452
20,Austin Peay,-2.81,663,1667,155,456,685,373,1043,428
21,Ball State,0.04,669,1580,234,389,561,303,980,424
22,Baylor NCAA,9.33,813,1874,236,487,723,497,1333,434
23,Belmont NCAA,-2.77,858,1803,329,405,585,307,1093,451
24,Bethune-Cookman,-10.45,627,1567,163,482,672,372,1056,449
25,Binghamton,-3.49,633,1598,171,408,618,288,992,433
26,Boise State NCAA,1.38,831,1823,297,431,591,298,1119,348
27,Boston College,7.94,743,1668,207,412,584,263,983,389
28,Boston University,-3.12,668,1498,232,469,674,263,953,369
29,Bowling Green State,-1.25,778,1806,218,420,588,355,1156,386
30,Bradley,1.52,639,1700,179,425,641,377,1098,418
31,Brigham Young NCAA,5.02,976,2090,300,679,886,421,1349,417
32,Brown,-1.99,686,1623,175,501,727,324,1129,460
33,Bryant,-4.93,709,1683,226,414,552,306,1029,366
34,Bucknell,-2.75,800,1828,233,506,726,340,1145,377
35,Buffalo NCAA,1.60,837,1922,199,589,819,420,1260,378
36,Butler NCAA,8.62,814,1882,192,526,767,408,1239,376
37,Cal Poly,0.43,620,1589,166,346,506,342,1002,255
38,Cal State Bakersfield,-5.80,715,1703,186,484,669,368,1143,409
39,Cal State Fullerton,-1.06,698,1695,167,428,623,323,1088,391
40,Cal State Northridge,0.39,740,1742,110,558,729,325,1133,435
41,UC-Davis,-2.58,775,1583,274,439,598,255,995,427
42,UC-Irvine NCAA,0.45,854,1851,217,370,541,329,1198,396
43,UC-Riverside,-1.16,707,1691,207,404,592,337,1080,413
44,UC-Santa Barbara,0.98,806,1836,225,421,572,352,1134,360
45,University of California,6.15,821,1868,185,368,567,299,1170,365
46,Campbell,-5.30,705,1654,262,373,597,305,988,403
47,Canisius,-2.79,762,1864,215,429,596,401,1157,393
48,Central Arkansas,-5.94,646,1524,196,406,599,273,903,529
49,Central Connecticut State,-5.62,674,1675,146,340,479,332,1046,425
50,Central Florida,0.78,704,1621,202,371,577,313,997,390
51,Central Michigan,-1.10,848,1816,322,486,670,327,1080,325
52,Charleston Southern,-5.23,777,1846,288,435,633,403,1171,354
53,Charlotte,0.35,858,1853,201,445,685,382,1166,435
54,Chattanooga,-4.06,793,1754,217,522,762,371,1118,418
55,Chicago State,-2.48,659,1747,194,343,514,391,1050,471
56,Cincinnati NCAA,4.40,761,1705,167,424,633,383,1178,432
57,Citadel,-4.68,647,1436,206,419,546,271,874,392
58,Clemson,7.18,689,1685,171,395,579,369,1122,365
59,Cleveland State,-0.78,794,1760,238,382,557,353,1072,408
60,Coastal Carolina NCAA,-6.18,836,1899,228,538,780,447,1338,399
61,Colgate,-3.41,804,1661,253,316,453,229,994,379
62,College of Charleston,-1.26,686,1708,197,365,553,314,1064,397
63,Colorado State,0.69,837,1901,245,535,794,411,1287,361
64,Colorado,6.19,812,1861,179,542,760,400,1269,450
65,Columbia,-1.49,637,1453,244,298,416,287,916,328
66,Connecticut,4.22,800,1824,226,417,590,331,1178,404
67,Coppin State,-4.78,758,1906,295,408,590,319,994,418
68,Cornell,-1.92,615,1558,181,457,610,248,981,359
69,Creighton,7.05,746,1776,262,467,644,348,1139,391
70,Dartmouth,-3.32,657,1510,173,348,539,298,949,373
71,Davidson NCAA,3.19,898,1924,343,390,553,335,1144,303
72,Dayton NCAA,4.06,810,1755,239,580,846,255,1121,415
73,Delaware State,-6.75,888,2121,282,475,672,424,1375,484
74,Delaware,-1.69,675,1646,199,430,627,314,1061,367
75,Denver,-3.13,657,1369,224,327,427,148,717,338
76,DePaul,7.49,757,1739,248,458,635,292,969,428
77,Detroit Mercy,0.13,840,1889,231,423,619,343,1109,436
78,Drake,2.22,637,1396,200,370,482,192,810,409
79,Drexel,-0.85,614,1569,176,383,514,287,948,313
80,Duke NCAA,9.87,1099,2191,283,610,873,445,1436,421
81,Duquesne,1.41,803,1788,245,362,577,353,1124,381
82,East Carolina,1.00,750,1777,233,383,563,333,1048,379
83,East Tennessee State,-4.01,722,1712,280,477,661,331,1052,381
84,Eastern Illinois,-2.42,746,1696,241,364,558,255,1003,396
85,Eastern Kentucky,-4.16,818,1763,299,438,562,225,876,374
86,Eastern Michigan,-0.14,806,1963,230,587,817,403,1271,411
87,Eastern Washington NCAA,-3.84,977,2045,344,522,719,351,1183,376
88,Elon,-2.69,807,1906,240,475,695,355,1151,440
89,Evansville,-0.07,899,1854,153,601,803,284,1168,455
90,Fairfield,-2.31,614,1578,198,419,585,286,979,396
91,Fairleigh Dickinson,-4.54,681,1658,208,386,557,300,869,372
92,Florida A&M,-8.52,560,1500,119,368,567,281,914,415
93,Florida Atlantic,-2.06,651,1562,212,301,447,265,904,367
94,Florida Gulf Coast,-4.98,814,1883,197,399,603,404,1257,386
95,Florida International,-3.23,749,1694,151,411,647,313,1129,493
96,Florida State,7.02,763,1669,147,524,783,328,1109,478
97,Florida,9.67,766,1763,218,351,553,348,1095,409
98,Fordham,2.72,711,1713,187,406,559,373,1117,452
99,Fresno State,1.30,725,1692,179,457,662,286,1010,358
100,Furman,-3.46,701,1636,216,480,717,316,1068,438
101,Gardner-Webb,-3.11,909,2028,288,513,767,387,1226,430
102,George Mason,4.60,708,1663,130,450,676,391,1113,445
103,George Washington,2.79,827,1887,192,508,754,422,1278,420
104,Georgetown NCAA,9.81,799,1753,201,541,769,367,1152,415
105,Georgia Southern,-4.72,733,1765,234,412,616,391,1160,365
106,Georgia State NCAA,-2.03,902,1878,174,521,719,322,1116,366
107,Georgia Tech,8.45,734,1800,131,363,560,444,1187,394
108,Georgia NCAA,8.60,747,1730,184,572,826,360,1260,420
