,Unnamed: 0,Team_Id,wins,School
0,231.0,1115.0,1,Ark Pine Bluff 2010
1,232.0,1124.0,3,Baylor 2010
2,233.0,1139.0,5,Butler 2010
3,234.0,1140.0,1,BYU 2010
4,235.0,1143.0,1,California 2010
5,236.0,1165.0,2,Cornell 2010
6,237.0,1181.0,6,Duke 2010
7,238.0,1210.0,1,Georgia Tech 2010
8,239.0,1211.0,1,Gonzaga 2010
9,240.0,1242.0,1,Kansas 2010
10,241.0,1243.0,3,Kansas St 2010
11,242.0,1246.0,3,Kentucky 2010
12,243.0,1268.0,1,Maryland 2010
13,244.0,1277.0,4,Michigan St 2010
14,245.0,1281.0,1,Missouri 2010
15,246.0,1293.0,1,Murray St 2010
16,247.0,1307.0,1,New Mexico 2010
17,248.0,1320.0,2,Northern Iowa 2010
18,249.0,1325.0,1,Ohio 2010
19,250.0,1326.0,2,Ohio St 2010
20,251.0,1330.0,1,Old Dominion 2010
21,252.0,1338.0,1,Pittsburgh 2010
22,253.0,1345.0,2,Purdue 2010
23,254.0,1388.0,2,St Mary's CA 2010
24,255.0,1393.0,2,Syracuse 2010
25,256.0,1397.0,3,Tennessee 2010
26,257.0,1401.0,1,Texas A&M 2010
27,258.0,1437.0,1,Villanova 2010
28,259.0,1448.0,1,Wake Forest 2010
29,260.0,1449.0,2,Washington 2010
30,261.0,1452.0,4,West Virginia 2010
31,262.0,1458.0,1,Wisconsin 2010
32,263.0,1462.0,2,Xavier 2010
33,264.0,1112.0,3,Arizona 2011
34,265.0,1139.0,5,Butler 2011
35,266.0,1140.0,2,BYU 2011
36,267.0,1153.0,1,Cincinnati 2011
37,268.0,1155.0,1,Clemson 2011
38,269.0,1163.0,6,Connecticut 2011
39,270.0,1181.0,2,Duke 2011
40,271.0,1196.0,3,Florida 2011
41,272.0,1199.0,2,Florida St 2011
42,273.0,1206.0,1,George Mason 2011
43,274.0,1211.0,1,Gonzaga 2011
44,275.0,1228.0,1,Illinois 2011
45,276.0,1242.0,3,Kansas 2011
46,277.0,1243.0,1,Kansas St 2011
47,278.0,1246.0,4,Kentucky 2011
48,279.0,1266.0,2,Marquette 2011
49,280.0,1276.0,1,Michigan 2011
50,281.0,1287.0,1,Morehead St 2011
51,282.0,1314.0,3,North Carolina 2011
52,283.0,1323.0,1,Notre Dame 2011
53,284.0,1326.0,2,Ohio St 2011
54,285.0,1338.0,1,Pittsburgh 2011
55,286.0,1345.0,1,Purdue 2011
56,287.0,1350.0,2,Richmond 2011
57,288.0,1361.0,2,San Diego St 2011
58,289.0,1393.0,1,Syracuse 2011
59,290.0,1396.0,1,Temple 2011
60,291.0,1400.0,1,Texas 2011
61,292.0,1417.0,1,UCLA 2011
62,293.0,1421.0,1,UNC Asheville 2011
63,294.0,1427.0,1,UT San Antonio 2011
64,295.0,1433.0,5,VA Commonwealth 2011
65,296.0,1449.0,1,Washington 2011
66,297.0,1452.0,1,West Virginia 2011
67,298.0,1458.0,2,Wisconsin 2011
68,299.0,1124.0,3,Baylor 2012
69,300.0,1140.0,1,BYU 2012
70,301.0,1153.0,2,Cincinnati 2012
71,302.0,1160.0,1,Colorado 2012
72,303.0,1166.0,1,Creighton 2012
73,304.0,1196.0,3,Florida 2012
74,305.0,1199.0,1,Florida St 2012
75,306.0,1207.0,1,Georgetown 2012
76,307.0,1211.0,1,Gonzaga 2012
77,308.0,1231.0,2,Indiana 2012
78,309.0,1235.0,1,Iowa St 2012
79,310.0,1242.0,5,Kansas 2012
80,311.0,1243.0,1,Kansas St 2012
81,312.0,1246.0,6,Kentucky 2012
82,313.0,1250.0,1,Lehigh 2012
83,314.0,1257.0,4,Louisville 2012
84,315.0,1266.0,2,Marquette 2012
85,316.0,1277.0,2,Michigan St 2012
86,317.0,1293.0,1,Murray St 2012
87,318.0,1301.0,2,NC St 2012
88,319.0,1307.0,1,New Mexico 2012
89,320.0,1313.0,1,Norfolk St 2012
90,321.0,1314.0,3,North Carolina 2012
91,322.0,1325.0,2,Ohio 2012
92,323.0,1326.0,4,Ohio St 2012
93,324.0,1345.0,1,Purdue 2012
94,325.0,1378.0,2,South Florida 2012
95,326.0,1387.0,1,St Louis 2012
96,327.0,1393.0,3,Syracuse 2012
97,328.0,1433.0,1,VA Commonwealth 2012
98,329.0,1435.0,1,Vanderbilt 2012
99,330.0,1436.0,1,Vermont 2012
100,331.0,1443.0,1,WKU 2012
101,332.0,1458.0,2,Wisconsin 2012
102,333.0,1462.0,2,Xavier 2012
103,334.0,1112.0,2,Arizona 2013
104,335.0,1139.0,1,Butler 2013
105,336.0,1143.0,1,California 2013
106,337.0,1161.0,1,Colorado St 2013
107,338.0,1166.0,1,Creighton 2013
108,339.0,1181.0,3,Duke 2013
109,340.0,1195.0,2,FL Gulf Coast 2013
110,341.0,1196.0,3,Florida 2013
111,342.0,1211.0,1,Gonzaga 2013
112,343.0,1217.0,1,Harvard 2013
113,344.0,1228.0,1,Illinois 2013
114,345.0,1231.0,2,Indiana 2013
115,346.0,1235.0,1,Iowa St 2013
116,347.0,1241.0,1,James Madison 2013
117,348.0,1242.0,2,Kansas 2013
118,349.0,1247.0,3,La Salle 2013
119,350.0,1257.0,6,Louisville 2013
120,351.0,1266.0,3,Marquette 2013
121,352.0,1272.0,1,Memphis 2013
122,353.0,1274.0,2,Miami FL 2013
123,354.0,1276.0,5,Michigan 2013
124,355.0,1277.0,2,Michigan St 2013
125,356.0,1278.0,1,Minnesota 2013
126,357.0,1279.0,1,Mississippi 2013
127,358.0,1299.0,1,NC A&T 2013
128,359.0,1314.0,1,North Carolina 2013
129,360.0,1326.0,3,Ohio St 2013
130,361.0,1332.0,2,Oregon 2013
131,362.0,1361.0,1,San Diego St 2013
132,363.0,1387.0,1,St Louis 2013
133,364.0,1388.0,1,St Mary's CA 2013
134,365.0,1393.0,4,Syracuse 2013
135,366.0,1396.0,1,Temple 2013
136,367.0,1433.0,1,VA Commonwealth 2013
137,368.0,1455.0,4,Wichita St 2013
138,369.0,1107.0,1,Albany NY 2014
139,370.0,1112.0,3,Arizona 2014
140,371.0,1124.0,2,Baylor 2014
141,372.0,1142.0,1,Cal Poly SLO 2014
142,373.0,1163.0,6,Connecticut 2014
143,374.0,1166.0,1,Creighton 2014
144,375.0,1173.0,3,Dayton 2014
145,376.0,1196.0,4,Florida 2014
146,377.0,1211.0,1,Gonzaga 2014
147,378.0,1217.0,1,Harvard 2014
148,379.0,1235.0,2,Iowa St 2014
149,380.0,1242.0,1,Kansas 2014
150,381.0,1246.0,5,Kentucky 2014
151,382.0,1257.0,2,Louisville 2014
152,383.0,1272.0,1,Memphis 2014
153,384.0,1273.0,1,Mercer 2014
154,385.0,1276.0,3,Michigan 2014
155,386.0,1277.0,3,Michigan St 2014
156,387.0,1295.0,1,N Dakota St 2014
157,388.0,1301.0,1,NC St 2014
158,389.0,1314.0,1,North Carolina 2014
159,390.0,1332.0,1,Oregon 2014
160,391.0,1338.0,1,Pittsburgh 2014
161,392.0,1361.0,2,San Diego St 2014
162,393.0,1372.0,1,SF Austin 2014
163,394.0,1387.0,1,St Louis 2014
164,395.0,1390.0,2,Stanford 2014
165,396.0,1393.0,1,Syracuse 2014
166,397.0,1397.0,3,Tennessee 2014
167,398.0,1400.0,1,Texas 2014
168,399.0,1417.0,2,UCLA 2014
169,400.0,1437.0,1,Villanova 2014
170,401.0,1438.0,2,Virginia 2014
171,402.0,1455.0,1,Wichita St 2014
172,403.0,1458.0,4,Wisconsin 2014
173,404.0,1112.0,3,Arizona 2015
174,405.0,1116.0,1,Arkansas 2015
175,406.0,1139.0,1,Butler 2015
176,407.0,1153.0,1,Cincinnati 2015
177,408.0,1173.0,2,Dayton 2015
178,409.0,1181.0,6,Duke 2015
179,410.0,1207.0,1,Georgetown 2015
180,411.0,1209.0,1,Georgia St 2015
181,412.0,1211.0,3,Gonzaga 2015
182,413.0,1214.0,1,Hampton 2015
183,414.0,1234.0,1,Iowa 2015
184,415.0,1242.0,1,Kansas 2015
185,416.0,1246.0,4,Kentucky 2015
186,417.0,1257.0,3,Louisville 2015
187,418.0,1268.0,1,Maryland 2015
188,419.0,1277.0,4,Michigan St 2015
189,420.0,1279.0,1,Mississippi 2015
190,421.0,1301.0,2,NC St 2015
191,422.0,1314.0,2,North Carolina 2015
192,423.0,1320.0,1,Northern Iowa 2015
193,424.0,1323.0,3,Notre Dame 2015
194,425.0,1326.0,1,Ohio St 2015
195,426.0,1328.0,2,Oklahoma 2015
196,427.0,1332.0,1,Oregon 2015
197,428.0,1352.0,1,Robert Morris 2015
198,429.0,1361.0,1,San Diego St 2015
199,430.0,1412.0,1,UAB 2015
200,431.0,1417.0,2,UCLA 2015
201,432.0,1428.0,2,Utah 2015
202,433.0,1437.0,1,Villanova 2015
203,434.0,1438.0,1,Virginia 2015
204,435.0,1452.0,2,West Virginia 2015
205,436.0,1455.0,2,Wichita St 2015
206,437.0,1458.0,5,Wisconsin 2015
207,438.0,1462.0,2,Xavier 2015
208,439.0,1114.0,1,Ark Little Rock 2016
209,440.0,1139.0,1,Butler 2016
210,441.0,1163.0,1,Connecticut 2016
211,442.0,1181.0,2,Duke 2016
212,443.0,1195.0,1,FL Gulf Coast 2016
213,444.0,1211.0,2,Gonzaga 2016
214,445.0,1218.0,1,Hawaii 2016
215,446.0,1221.0,1,Holy Cross 2016
216,447.0,1231.0,2,Indiana 2016
217,448.0,1234.0,1,Iowa 2016
218,449.0,1235.0,2,Iowa St 2016
219,450.0,1242.0,3,Kansas 2016
220,451.0,1246.0,1,Kentucky 2016
221,452.0,1268.0,2,Maryland 2016
222,453.0,1274.0,2,Miami FL 2016
223,454.0,1276.0,1,Michigan 2016
224,455.0,1292.0,1,MTSU 2016
225,456.0,1314.0,5,North Carolina 2016
226,457.0,1320.0,1,Northern Iowa 2016
227,458.0,1323.0,3,Notre Dame 2016
