,School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
6,Alabama 2018,910,1975,229,555,828,358,1290,513
11,Arizona State 2018,888,1920,288,581,793,315,1126,343
12,Arizona 2018,1009,2003,237,563,741,352,1277,426
16,Arkansas 2018,1005,2119,269,540,793,350,1208,381
18,Auburn 2018,906,2102,324,647,836,403,1290,411
33,Bucknell 2018,965,2050,280,627,872,324,1281,437
34,Buffalo 2018,1105,2334,351,486,695,426,1388,446
35,Butler 2018,1020,2155,287,436,562,319,1198,391
38,Cal State Fullerton 2018,804,1721,167,543,745,276,1123,455
55,Cincinnati 2018,944,2100,262,523,756,477,1413,404
57,Clemson 2018,899,1971,288,498,660,310,1256,414
61,College of Charleston 2018,875,1905,259,527,699,285,1129,339
68,Creighton 2018,1008,2050,343,397,531,246,1206,371
70,Davidson 2018,899,1874,353,368,461,225,1078,315
79,Duke 2018,1125,2288,309,562,791,492,1519,460
95,Florida State 2018,994,2125,273,543,786,393,1322,456
96,Florida 2018,893,2065,308,483,673,366,1198,335
105,Georgia State 2018,937,2033,323,417,615,303,1182,395
108,Gonzaga 2018,1125,2261,328,513,725,405,1477,420
120,Houston 2018,952,2066,297,484,674,404,1352,418
130,Iona 2018,957,2076,324,462,626,290,1146,395
139,Kansas State 2018,937,2025,254,502,684,299,1136,423
140,Kansas 2018,1165,2366,391,453,640,372,1388,456
143,Kentucky 2018,998,2115,195,649,930,439,1431,480
149,Lipscomb 2018,924,2040,267,593,826,346,1276,493
151,Long Island University 2018,935,2055,279,547,786,367,1327,496
158,Loyola (IL) 2018,995,1963,277,454,626,229,1222,472
165,Marshall 2018,1042,2232,362,571,747,288,1287,476
166,Maryland-Baltimore County 2018,926,2088,364,414,641,347,1245,440
174,Miami (FL) 2018,875,1881,247,362,547,317,1113,367
176,Michigan State 2018,991,1996,290,535,716,401,1439,459
177,Michigan 2018,1092,2335,361,474,717,336,1367,379
186,Missouri 2018,794,1765,306,505,688,332,1225,469
189,Montana 2018,944,2021,186,551,780,400,1258,422
193,Murray State 2018,870,1803,271,504,687,340,1186,384
198,Nevada 2018,1049,2238,354,603,812,339,1316,357
200,New Mexico State 2018,963,2104,258,388,603,427,1402,429
209,North Carolina Central 2018,949,2060,212,410,597,410,1336,495
210,North Carolina-Greensboro 2018,924,2075,331,383,549,417,1307,481
211,North Carolina State 2018,965,2054,263,489,703,400,1176,400
213,North Carolina 2018,1105,2417,305,503,677,511,1570,445
228,Ohio State 2018,951,1980,239,450,616,330,1245,399
231,Oklahoma 2018,954,2063,300,510,684,337,1229,428
238,Pennsylvania 2018,893,1948,291,429,651,283,1239,391
246,Providence 2018,899,2037,223,554,787,367,1247,430
247,Purdue 2018,1033,2097,353,555,747,311,1295,399
249,Radford 2018,850,2000,277,445,614,414,1244,441
250,Rhode Island 2018,954,2096,236,439,630,386,1170,362
265,San Diego State 2018,902,1967,239,502,702,364,1250,394
272,Seton Hall 2018,971,2073,250,509,729,414,1302,432
278,South Dakota State 2018,1003,2147,374,578,759,308,1360,353
290,St. Bonaventure 2018,884,1959,255,597,794,344,1208,391
294,Stephen F. Austin 2018,1000,2059,242,577,819,399,1248,540
297,Syracuse 2018,832,1995,208,594,807,433,1375,460
302,Tennessee 2018,885,2012,273,541,715,404,1262,422
304,Texas A&M 2018,976,2121,230,449,679,429,1450,476
306,Texas Christian 2018,979,1973,274,476,674,365,1201,419
310,Texas Southern 2018,925,2111,280,657,906,368,1301,453
312,Texas Tech 2018,964,2096,252,579,823,396,1332,454
313,Texas 2018,882,2010,245,441,663,358,1217,399
319,UCLA 2018,927,2014,310,515,715,335,1283,399
326,Villanova 2018,1220,2440,464,559,718,380,1436,426
329,Virginia Tech 2018,931,1865,289,483,681,244,1078,395
330,Virginia 2018,848,1844,247,340,451,282,1099,290
336,West Virginia 2018,1036,2374,322,570,744,513,1401,420
341,Wichita State 2018,957,2009,300,517,700,404,1336,385
346,Wright State 2018,873,2019,237,517,723,354,1266,459
348,Xavier 2018,1011,2055,274,657,843,340,1342,441
